监测点编码,监测点名称,城市,经度,纬度,省份
2225A,一商场,四平,124.3711,43.1594,吉林
2226A,境园,四平,124.3897,43.1847,吉林
2227A,环保局,辽源,125.1358,42.8947,吉林
2228A,污水处理厂(20190903停用),辽源,125.1567,42.8953,吉林
2229A,光明,通化,125.9361,41.7156,吉林
2230A,铁路,通化,125.9486,41.7381,吉林
2231A,喜丰,白山,126.4047,41.9206,吉林
2232A,环保局,白山,126.4078,41.9419,吉林
2233A,江南,松原,124.8292,45.0878,吉林
2234A,江北,松原,124.8528,45.1642,吉林
2235A,洮北区环保局,白城,122.8444,45.6289,吉林
2236A,市环保局,白城,122.8211,45.6175,吉林
2237A,妇幼医院,延边州,129.4892,42.8939,吉林
2238A,延边医院,延边州,129.5042,42.9061,吉林
2239A,朝阳川镇医院,延边州,129.3675,42.8775,吉林
2240A,环保局　,鸡西,130.962,45.2924,黑龙江
2241A,自来水公司　,鸡西,130.9817,45.305,黑龙江
2242A,白酒厂　,鸡西,131.0103,45.2948,黑龙江
2243A,气象局　,鸡西,130.9298,45.2978,黑龙江
2244A,哈啤分公司,鹤岗,130.2659,47.3349,黑龙江
2245A,斯达机电,鹤岗,130.261,47.2753,黑龙江
2246A,东山纸板厂,鹤岗,130.3172,47.3489,黑龙江
2247A,五号水库,鹤岗,130.1097,47.3382,黑龙江
2248A,双合村,双鸭山,131.1638,46.6572,黑龙江
2249A,南小市,双鸭山,131.1651,46.619,黑龙江
2250A,环保局,双鸭山,131.1516,46.6462,黑龙江
2251A,苗圃,双鸭山,131.1572,46.5888,黑龙江
2252A,中心医院,伊春,128.8736,47.7222,黑龙江
2253A,林管局,伊春,128.9094,47.7317,黑龙江
2254A,汤旺河国家公园,伊春,129.4942,48.4658,黑龙江
2255A,佳纺,佳木斯,130.2719,46.8025,黑龙江
2256A,发电厂,佳木斯,130.3961,46.8267,黑龙江
2257A,环保局,佳木斯,130.3258,46.7975,黑龙江
2258A,十一中,佳木斯,130.3648,46.8032,黑龙江
2259A,四丰,佳木斯,130.3794,46.7588,黑龙江
2260A,环保局,七台河,131.0032,45.7677,黑龙江
2261A,新建　,七台河,130.8625,45.8194,黑龙江
2262A,葫头沟,七台河,130.9467,45.8309,黑龙江
2263A,交通局　,黑河,127.4961,50.2486,黑龙江
2264A,党校,黑河,127.5044,50.2391,黑龙江
2265A,地震局　,黑河,127.4143,50.2538,黑龙江
2266A,人和东街,绥化,126.9934,46.6384,黑龙江
2267A,党政办公中心,绥化,126.9636,46.6527,黑龙江
2268A,环保局(停运191231),大兴安岭地区,124.1186,50.4269,黑龙江
2269A,公安局,大兴安岭地区,124.1303,50.4217,黑龙江
2270A,工人疗养院,蚌埠,117.3961,32.939,安徽
2271A,百货大楼,蚌埠,117.3575,32.9444,安徽
2272A,二水厂,蚌埠,117.3086,32.935,安徽
2273A,蚌埠学院,蚌埠,117.4186,32.8913,安徽
2274A,淮上区政府,蚌埠,117.3536,32.9673,安徽
2275A,高新区,蚌埠,117.3065,32.8985,安徽
2276A,大通区政府（已停运）,淮南,117.0417,32.6611,安徽
2277A,潘集区政府,淮南,116.8028,32.7639,安徽
2278A,师范学院,淮南,117.0083,32.645,安徽
2279A,谢家集区政府,淮南,116.8556,32.6028,安徽
2280A,八公山区政府,淮南,116.8306,32.6319,安徽
2281A,焦岗湖风景区管理处,淮南,116.7039,32.625,安徽
2282A,监测站,淮北,116.8008,33.975,安徽
2283A,烈山区政府,淮北,116.8067,33.8997,安徽
2284A,职业技术学院,淮北,116.7844,33.9461,安徽
2285A,市第四中学,铜陵,117.8178,30.9414,安徽
2286A,市公路局,铜陵,117.8078,30.9222,安徽
2287A,市新民污水厂,铜陵,117.7806,30.9414,安徽
2288A,市第九中学,铜陵,117.7442,30.8811,安徽
2289A,车站新区,铜陵,117.8561,30.9219,安徽
2290A,市职教基地,铜陵,117.8472,30.9697,安徽
2291A,环科院,安庆,117.0549,30.5103,安徽
2292A,马山宾馆,安庆,117.0331,30.5120,安徽
2293A,联富花园(停运180816),安庆,117.0486,30.5489,安徽
2294A,安庆大学(191227更为评价点),安庆,116.9896,30.6145,安徽
2295A,延安路89号,黄山,118.3057,29.7128,安徽
2296A,黄山东路89号,黄山,118.3236,29.7207,安徽
2297A,黄山区政府5号楼,黄山,118.1371,30.2756,安徽
2298A,老年大学,滁州,118.3094,32.3153,安徽
2299A,人大宾馆,滁州,118.3244,32.2786,安徽
2300A,监测站(20190308停运),滁州,118.3158,32.3061,安徽
2301A,市监测站,阜阳,115.8275,32.8928,安徽
2302A,市委党校,阜阳,,,安徽
2303A,开发区,阜阳,115.8556,32.8603,安徽
2304A,监测楼(181204停用),宿州,116.9765,33.6481,安徽
2305A,一中,宿州,116.9677,33.6284,安徽
2306A,火车站,宿州,116.989,33.63063889,安徽
2307A,监测大楼,六安,116.508,31.7371,安徽
2308A,皖西学院,六安,116.478,31.7618,安徽
2309A,朝阳厂,六安,116.5068,31.7797,安徽
2310A,开发区,六安,116.5661,31.7712,安徽
2311A,污水处理厂,亳州,115.8067,33.8399,安徽
2312A,三国揽胜宫,亳州,115.7831,33.8561,安徽
2313A,环保大楼(停运160506),池州,117.4808,30.6414,安徽
2314A,池州学院,池州,117.4697,30.6617,安徽
2315A,平天湖(对照点),池州,117.4974,30.6539,安徽
2316A,鳌峰子站,宣城,118.7581,30.9447,安徽
2317A,敬亭山子站,宣城,118.7386,30.9742,安徽
2318A,开发区子站,宣城,118.7175,30.9431,安徽
2319A,荔城区仓后路,莆田,119.0156,25.442,福建
2320A,莆田市监测站,莆田,119.0018,25.4552,福建
2321A,涵江区六中,莆田,119.1117,25.4556,福建
2322A,秀屿区政府,莆田,119.1015,25.3214,福建
2323A,东圳水库,莆田,118.981,25.4792,福建
2324A,三钢,三明,117.6211,26.2625,福建
2325A,三明二中,三明,117.6353,26.2708,福建
2326A,三元区政府,三明,117.6028,26.2378,福建
2327A,洋溪,三明,117.7275,26.3108,福建
2331A,茫荡山,南平,118.0966,26.6761,福建
2332A,南平市监测站,南平,118.1694,26.6383,福建
2333A,南平铝业有限公司,南平,118.1819,26.6514,福建
2334A,南平七中,南平,118.1756,26.6272,福建
2335A,龙岩师专,龙岩,117.0181,25.1174,福建
2336A,龙岩市监测站,龙岩,117.0216,25.1035,福建
2337A,闽西职业技术学院,龙岩,117.0256,25.0661,福建
2338A,龙岩学院,龙岩,117.0151,25.0311,福建
2339A,金涵水库(对照点),宁德,119.5001,26.6946,福建
2340A,蕉城区农机局(20190319停运),宁德,119.5202,26.6607,福建
2341A,宁德市监测站,宁德,119.5392,26.6611,福建
2342A,王岗中学,景德镇,117.3097,29.3864,江西
2343A,老干部活动中心,景德镇,117.2111,29.2958,江西
2344A,兽医站,景德镇,117.1983,29.2786,江西
2345A,台达陶瓷,景德镇,117.1558,29.2647,江西
2346A,陶研所,景德镇,117.2461,29.2956,江西
2347A,武功山气象站(对照点),萍乡,114.0944,27.4948,江西
2348A,中医院,萍乡,113.8381,27.6428,江西
2349A,市政府车库,萍乡,113.8447,27.6231,江西
2350A,市环保局,萍乡,113.8686,27.6442,江西
2351A,安源区政府,萍乡,113.865,27.6178,江西
2352A,北岗(对照点),新余,115.0586,27.7758,江西
2353A,飞宇,新余,114.9831,27.8344,江西
2354A,第二水厂,新余,114.9289,27.8328,江西
2355A,市气象局,新余,114.9314,27.8036,江西
2356A,新钢氧气厂(20190301停用),新余,114.9119,27.8042,江西
2357A,龙虎山,鹰潭,116.9622,28.095,江西
2358A,新监测站,鹰潭,117.0564,28.2642,江西
2359A,财苑宾馆,鹰潭,117.0281,28.2403,江西
2360A,体育馆,鹰潭,117.0222,28.2264,江西
2361A,三川水表,鹰潭,116.9983,28.2169,江西
2362A,通天岩,赣州,114.9064,25.9118,江西
2363A,地委,赣州,114.9367,25.8664,江西
2364A,气象台,赣州,114.9461,25.8481,江西
2365A,市图书馆,赣州,114.9322,25.8333,江西
2366A,华坚鞋城,赣州,114.8905,25.8471,江西
2367A,红声器材厂,吉安,114.9817,27.0658,江西
2368A,市森林工业局,吉安,114.9739,27.11,江西
2369A,市环境监测站,吉安,114.99,27.1311,江西
2370A,青原区法院,吉安,115.0075,27.0983,江西
2371A,槟榔水业(对照点),宜春,114.3442,27.8036,江西
2372A,市中国银行（181229停用）,宜春,114.3806,27.8014,江西
2373A,市石油公司,宜春,114.3953,27.7842,江西
2374A,市气象局,宜春,114.3703,27.7914,江西
2375A,市广电局,宜春,114.4011,27.8072,江西
2376A,桐源党溪,抚州,116.2239,28.0797,江西
2377A,市站,抚州,116.3553,27.9883,江西
2378A,血防站,抚州,116.3598,27.9639,江西
2379A,采茶剧团,抚州,116.3574,28.0005,江西
2380A,医学分院,抚州,116.385,27.9647,江西
2381A,百草园,上饶,118.0058,28.4569,江西
2382A,市监测站,上饶,117.973,28.4459,江西
2383A,凤凰光学,上饶,117.9511,28.4622,江西
2384A,开发区管委会,上饶,117.9033,28.4303,江西
2385A,市监测站,鹤壁,114.17,35.9019,河南
2386A,市交警支队,鹤壁,114.2956,35.7511,河南
2387A,迎宾馆,鹤壁,114.2878,35.7306,河南
2388A,科技学院,新乡,113.926,35.279,河南
2389A,环保西院,新乡,113.836,35.31,河南
2390A,开发区,新乡,113.884,35.272,河南
2391A,环保东院,新乡,113.883,35.303,河南
2392A,环保局,濮阳,115.031,35.763,河南
2393A,紭天威,濮阳,114.9906,35.767,河南
2394A,油田运输公司,濮阳,115.0628,35.7672,河南
2395A,油田物探公司,濮阳,115.0772,35.767,河南
2396A,监测站,许昌,113.8331,34.0117,河南
2397A,环保局,许昌,113.8208,34.0314,河南
2398A,开发区,许昌,113.7906,33.9953,河南
2399A,三五一五工厂,漯河,114.056,33.567,河南
2400A,漯河大学,漯河,114.005,33.568,河南
2401A,水利局,漯河,114.014,33.581,河南
2402A,广电局,漯河,114.0322,33.5653,河南
2403A,环保局,南阳,112.5192,32.9917,河南
2404A,瓦房庄,南阳,112.5224,33.0122,河南
2405A,汉画馆,南阳,112.5003,32.9735,河南
2406A,气象站,南阳,112.5573,33.027,河南
2407A,理工学院,南阳,112.5481,32.9689,河南
2408A,环境监测站,商丘,115.6697,34.4286,河南
2409A,粮食局,商丘,115.6558,34.429,河南
2410A,睢阳区环保局,商丘,115.6386,34.407,河南
2411A,第三人民医院(20190220停运),商丘,115.6578,34.402,河南
2420A,市一纸厂　,驻马店,114.018,32.965,河南
2421A,市彩印厂　,驻马店,114.0131,33.0069,河南
2422A,天方二分厂　,驻马店,113.996,32.996,河南
2423A,沈家营,黄石,115.0625,30.2352,湖北
2424A,陈家湾,黄石,115.0767,30.2028,湖北
2425A,新下陆,黄石,114.9551,30.1765,湖北
2426A,铁山,黄石,114.8949,30.2043,湖北
2427A,团城山,黄石,115.0264,30.2099,湖北
2428A,武当山,十堰,111.0419,32.395,湖北
2429A,滨河新村,十堰,110.78,32.6494,湖北
2430A,刘家沟,十堰,110.7258,32.6389,湖北
2431A,铁二处,十堰,110.8839,32.5714,湖北
2432A,襄城运动路,襄阳,112.155,32.0197,湖北
2433A,樊城新华路,襄阳,112.1392,32.0564,湖北
2434A,高新管委会,襄阳,112.1825,32.1142,湖北
2435A,襄州航空路,襄阳,112.2106,32.0903,湖北
2436A,市政府,鄂州,114.8878,30.3944,湖北
2437A,赵家坝,鄂州,114.8989,30.3714,湖北
2438A,凡口开发区,鄂州,114.8131,30.4133,湖北
2439A,竹园小学,荆门,112.2014,31.0483,湖北
2440A,掇刀,荆门,112.1969,30.9892,湖北
2441A,石化一小,荆门,112.2211,31.0386,湖北
2442A,市政府,荆门,112.1931,31.0375,湖北
2443A,文化路,孝感,113.9153,30.9285,湖北
2444A,东城区,孝感,113.942,30.9075,湖北
2445A,大洲岛,黄冈,114.8857,30.4522,湖北
2446A,职工中心,黄冈,114.9028,30.4742,湖北
2447A,森林公园(对照点),咸宁,114.3290,29.8175,湖北
2448A,市发改委,咸宁,114.3231,29.8211,湖北
2449A,咸安区政府,咸宁,114.2894,29.8539,湖北
2450A,长江产业园,咸宁,114.3372,29.8686,湖北
2451A,市委党校,随州,113.3583,31.7275,湖北
2452A,市林业局,随州,113.3833,31.6908,湖北
2453A,市立交桥水厂,随州,113.3983,31.7308,湖北
2454A,湖北民院,恩施州,109.5039,30.2989,湖北
2455A,州电力总公司,恩施州,109.4689,30.2819,湖北
2456A,原169医院,衡阳,112.5328,26.9089,湖南
2457A,衡阳化工总厂,衡阳,112.6194,26.9258,湖南
2458A,珠晖区环保局,衡阳,112.6211,26.8956,湖南
2459A,市委党校,衡阳,112.6197,26.8733,湖南
2460A,市监测站,衡阳,112.6006,26.8919,湖南
2461A,真空机电公司,衡阳,112.5664,26.9056,湖南
2462A,市水土所,邵阳,111.5239,27.3033,湖南
2463A,市一中,邵阳,111.4733,27.2317,湖南
2464A,市化工厂,邵阳,111.4908,27.2582,湖南
2465A,市罐头厂,邵阳,111.4503,27.2537,湖南
2466A,市环保局,邵阳,111.4328,27.2272,湖南
2467A,甘溪港,益阳,112.4067,28.6428,湖南
2468A,市环保局,益阳,112.3458,28.5808,湖南
2469A,市特殊教育学校,益阳,112.3439,28.56,湖南
2470A,资阳区政务中心,益阳,112.3347,28.6047,湖南
2471A,赫山环保分局,益阳,112.3744,28.5819,湖南
2472A,马头岭,郴州,113.0073,25.9061,湖南
2473A,市职中,郴州,113.0116,25.8226,湖南
2474A,兴隆步行街,郴州,113.0119,25.8179,湖南
2475A,市审计局,郴州,113.0383,25.8071,湖南
2476A,市环保局,郴州,113.0348,25.7759,湖南
2477A,零陵南津渡,永州,111.6217,26.2081,湖南
2478A,市环境监测站,永州,111.6156,26.4214,湖南
2479A,零陵区环保局,永州,111.6236,26.2331,湖南
2480A,永州市环保局,永州,111.5992,26.4364,湖南
2481A,冷水滩区环保局,永州,111.5989,26.4519,湖南
2482A,林科所,怀化,109.9333,27.5733,湖南
2483A,河西地税局,怀化,109.9453,27.5444,湖南
2484A,市四医院,怀化,109.9792,27.5342,湖南
2485A,监测楼,怀化,109.9972,27.5578,湖南
2486A,市委党校,怀化,110.0394,27.583,湖南
2487A,电视发射台,娄底,111.9975,27.725,湖南
2488A,市监测站,娄底,111.9975,27.725,湖南
2489A,市委党校,娄底,112.0194,27.7314,湖南
2490A,涟钢,娄底,111.9561,27.7569,湖南
2491A,市政府,娄底,111.9892,27.7044,湖南
2492A,跃进水库,湘西州,109.6414,28.2558,湖南
2493A,州政府,湘西州,109.7325,28.3169,湖南
2494A,吉首市计生局,湘西州,109.6958,28.2675,湖南
2495A,市环保,梧州,111.2897,23.4792,广西
2496A,云盖小学,梧州,111.3178,23.475,广西
2497A,龙圩,梧州,111.2353,23.415,广西
2498A,龙新,梧州,111.26,23.4794,广西
2499A,沙万,防城港,108.3411,21.6158,广西
2500A,防城镇政府,防城港,108.3511,21.7631,广西
2501A,大海花园,防城港,108.3506,21.6414,广西
2502A,市环保站,钦州,108.6236,21.9667,广西
2503A,市农科院,钦州,108.6553,21.9508,广西
2504A,港区一小,钦州,108.5989,21.7431,广西
2505A,德智高中,贵港,109.5681,23.1478,广西
2506A,江南子站　,贵港,109.6042,23.0672,广西
2507A,贵城子站,贵港,109.6014,23.0944,广西
2508A,荷城子站,贵港,109.5683,23.1036,广西
2509A,寒山水库,玉林,110.1106,22.7019,广西
2510A,市监测站,玉林,110.1675,22.6411,广西
2511A,南江一中,玉林,110.1433,22.6164,广西
2512A,市监测站,百色,106.6103,23.9011,广西
2513A,市中心血站,百色,106.6527,23.8844,广西
2514A,环保小区,贺州,111.5269,24.4175,广西
2515A,政协大楼,贺州,111.5622,24.4072,广西
2516A,东仁乐园,河池,108.2134,24.7121,广西
2517A,市环保站,河池,108.054,24.6928,广西
2518A,市疾控中心,河池,108.1009,24.6967,广西
2519A,来宾二中,来宾,109.2131,23.7208,广西
2520A,来冶招待所,来宾,109.2317,23.7369,广西
2521A,市环保局江州分局,崇左,107.3476,22.4137,广西
2522A,城南新区,崇左,107.3701,22.3708,广西
2523A,黑石坡,广元,105.8945,32.4535,四川
2524A,老城,广元,105.8242,32.4429,四川
2525A,南坝,广元,105.8153,32.4246,四川
2526A,监测站,广元,105.8624,32.4285,四川
2527A,石溪浩,遂宁,105.7519,30.5797,四川
2528A,市监测站,遂宁,105.68,30.6133,四川
2529A,行政中心,遂宁,105.8161,30.6347,四川
2530A,美宁食品公司,遂宁,105.5956,30.475,四川
2531A,市监测站,内江,105.0331,29.5953,四川
2532A,东兴区政府,内江,105.0717,29.5947,四川
2533A,内江二中,内江,105.0653,29.5817,四川
2534A,内江日报社,内江,105.0406,29.5822,四川
2535A,花湖湾,乐山,103.7705,29.5467,四川
2536A,牛耳桥,乐山,103.7627,29.5844,四川
2537A,市第三水厂,乐山,103.7506,29.6007,四川
2538A,市监测站,乐山,103.757,29.5634,四川
2539A,蟆颐观,眉山,103.8986,30.0506,四川
2540A,气象局,眉山,103.8416,30.0874,四川
2541A,旭光小区,眉山,103.8495,30.0691,四川
2542A,市监测站,眉山,103.8341,30.062,四川
2543A,小平旧居,广安,106.631,30.518,四川
2544A,市委,广安,106.6303,30.4576,四川
2545A,友谊中学,广安,106.6271,30.4663,四川
2546A,人工湖,广安,106.6406,30.4844,四川
2547A,广电花园,广安,106.6388,30.4551,四川
2548A,达州职业技术学院,达州,107.5272,31.2797,四川
2549A,市环境监测站,达州,107.525,31.215,四川
2550A,凤凰小区,达州,107.4967,31.2108,四川
2551A,达县机关宾馆,达州,107.5069,31.1956,四川
2552A,市政中心,达州,107.4611,31.2058,四川
2553A,大兴526台,雅安,103.009,30.0125,四川
2554A,建安厂,雅安,103.0013,29.9899,四川
2555A,市政府,雅安,103.0109,29.9834,四川
2556A,川农大,雅安,103.0001,29.9816,四川
2557A,南龛公园,巴中,106.7583,31.8475,四川
2558A,市环保局,巴中,106.7389,31.8711,四川
2559A,巴中中学,巴中,106.7594,31.8531,四川
2560A,市六中,巴中,106.7608,31.8456,四川
2561A,莲花山,资阳,104.6617,30.1366,四川
2562A,资阳中学,资阳,104.6356,30.1506,四川
2563A,四三一厂,资阳,104.6289,30.1377,四川
2564A,师范校,资阳,104.6469,30.1142,四川
2565A,区法院,资阳,104.6294,30.1259,四川
2566A,州农科所,阿坝州,102.1755,31.9286,四川
2567A,州监测站,阿坝州,102.2218,31.9025,四川
2568A,马师校,阿坝州,102.2402,31.8934,四川
2569A,将军桥,甘孜州,101.9628,30.0506,四川
2570A,水桥子,甘孜州,101.9603,30.0475,四川
2571A,青龙寺,凉山州,102.3419,27.8094,四川
2572A,邛海宾馆,凉山州,102.2714,27.8408,四川
2573A,西昌市政府,凉山州,102.2625,27.8978,四川
2574A,凉山州政府,凉山州,102.2689,27.8847,四川
2575A,长安,凉山州,102.2311,27.8953,四川
2576A,窑上,六盘水,104.8,26.5892,贵州
2577A,黄土坡,六盘水,104.83,26.5917,贵州
2578A,水钢,六盘水,104.89,26.5939,贵州
2579A,民中,六盘水,104.8475,26.5894,贵州
2580A,双水,六盘水,104.9544,26.5506,贵州
2581A,虹机厂子校,安顺,105.9556,26.2611,贵州
2582A,市一中,安顺,105.9278,26.255,贵州
2583A,铁路子校,安顺,105.9394,26.2358,贵州
2584A,龙岩子校,安顺,105.8853,26.2392,贵州
2585A,铜仁卫校,铜仁,109.1916,27.7297,贵州
2586A,铜仁七中,铜仁,109.1794,27.7231,贵州
2587A,八中,毕节,105.2864,27.3125,贵州
2588A,师专,毕节,105.31,27.2944,贵州
2589A,场坝街,黔西南州,104.9022,25.0925,贵州
2590A,坪东大道,黔西南州,104.8811,25.0992,贵州
2591A,市环境监测站,黔东南州,107.9783,26.5747,贵州
2592A,马坡井小学,黔东南州,,,贵州
2593A,小围寨,黔南州,107.5228,26.2403,贵州
2594A,市环境监测站,保山,99.1678,25.1081,云南
2595A,市环保局,保山,99.1711,25.1328,云南
2596A,监测站,昭通,103.7032,27.3392,云南
2597A,环保局,昭通,103.7225,27.3361,云南
2598A,西南郊,丽江,100.2143,26.8576,云南
2599A,丽江古城,丽江,100.2497,26.8802,云南
2600A,市中心,丽江,100.2203,26.8906,云南
2601A,市环保局,普洱,100.98,22.7633,云南
2602A,普洱第二中学,普洱,100.9817,22.8322,云南
2603A,市环保局,临沧,100.0869,23.8822,云南
2604A,市气象局,临沧,100.0782,23.8982,云南
2605A,州环境监测站,楚雄州,101.5482,25.0441,云南
2606A,市经济开发区,楚雄州,101.538,25.0492,云南
2607A,雨过铺,红河州,103.3113,23.4626,云南
2608A,污水处理厂,红河州,103.3772,23.3993,云南
2609A,监测站,红河州,103.386,23.4168,云南
2610A,州水务局,文山州,104.2533,23.3594,云南
2611A,市便民服务中心,文山州,104.2319,23.3892,云南
2612A,景洪市江南,西双版纳州,100.7939,22.0019,云南
2613A,景洪市江北,西双版纳州,100.8017,22.0225,云南
2614A,大理市环境监测站,大理州,100.1542,25.7054,云南
2615A,大理古城,大理州,100.2171,25.5811,云南
2616A,德宏州监测站,德宏州,98.5842,24.428,云南
2617A,芒市建设局,德宏州,98.578,24.441,云南
2618A,州监测站,怒江州,98.8601,25.8567,云南
2619A,泸水一中,怒江州,98.8546,25.8417,云南
2620A,古城（20180930停运）,迪庆州,99.7064,27.8136,云南
2621A,迪庆州站,迪庆州,99.7056,27.8317,云南
2622A,昌都监测站,昌都,97.1804,31.1278,西藏
2623A,昌都地区昌都坝,昌都,97.1809,31.1254,西藏
2624A,山南监测站,山南,91.7608,29.2313,西藏
2625A,山南人民医院,山南,91.7706,29.261,西藏
2626A,日喀则监测站,日喀则,88.8876,29.2718,西藏
2627A,日喀则鸿达公司,日喀则,88.8931,29.2365,西藏
2628A,那曲监测站,那曲地区,92.0657,31.4846,西藏
2629A,那曲嘉兴医院,那曲地区,92.0505,31.4733,西藏
2630A,阿里监测站,阿里地区,80.1161,32.5,西藏
2631A,阿里地委,阿里地区,80.0895,32.5039,西藏
2632A,林芝监测站,林芝,94.3681,29.6376,西藏
2633A,林芝人民医院,林芝,94.3616,29.6632,西藏
2634A,汉川机床厂子校,汉中,106.9893,33.1842,陕西
2635A,市监测站,汉中,107.0154,33.0706,陕西
2636A,鑫源开发区,汉中,107.0089,33.1138,陕西
2637A,南郑大河坎水厂,汉中,107.007,33.0323,陕西
2638A,红石峡森林公园(对照点),榆林,109.7414,38.3344,陕西
2639A,世纪广场,榆林,109.7456,38.2911,陕西
2640A,实验中学,榆林,109.7289,38.2839,陕西
2641A,环保监测大楼,榆林,109.7336,38.2478,陕西
2642A,香溪洞,安康,109.0311,32.6778,陕西
2643A,安康市监测站,安康,109.0281,32.6939,陕西
2644A,汉滨区检察院,安康,109.0072,32.6975,陕西
2645A,监测站,商洛,109.9154,33.8715,陕西
2646A,东龙山气象局,商洛,109.966,33.8509,陕西
2647A,豫源饭店,白银,104.1731,36.5458,甘肃
2648A,动力公司,白银,104.1731,36.5481,甘肃
2649A,仙人崖,天水,106.005,34.3469,甘肃
2650A,进步巷,天水,105.7281,34.5814,甘肃
2651A,文化馆,天水,105.8614,34.5653,甘肃
2652A,监测站,武威,102.6219,37.9311,甘肃
2653A,雷台(190211停运),武威,102.6469,37.9358,甘肃
2654A,监测站,张掖,100.4686,38.9467,甘肃
2655A,科委,张掖,100.4497,38.9389,甘肃
2656A,监测站,平凉,106.6692,35.5461,甘肃
2657A,博物馆,平凉,106.7039,35.5294,甘肃
2658A,仓门街子站,酒泉,98.509,39.746,甘肃
2659A,富康家世界子站,酒泉,98.5023,39.7294,甘肃
2660A,区环保局,庆阳,107.6831,35.7289,甘肃
2661A,粮贸总公司,庆阳,107.6406,35.5236,甘肃
2662A,市环保局,庆阳,107.6364,35.7067,甘肃
2663A,监测站（原粮食局）,定西,104.6228,35.5714,甘肃
2664A,南峰招待所（原起重机厂）,定西,104.6169,35.5975,甘肃
2665A,汉王镇固水子,陇南,105.0822,33.3261,甘肃
2666A,市林业局,陇南,,,甘肃
2667A,环保局,临夏州,103.2139,35.6039,甘肃
2668A,州委党校,临夏州,103.2064,35.5997,甘肃
2669A,监测站,甘南州,102.905,35.0003,西藏
2670A,平安县,海东地区,102.1086,36.4997,青海
2671A,海晏县西海镇,海北州,100.9048,36.9639,青海
2672A,同仁县隆务镇,黄南州,102.0199,35.5102,青海
2673A,共和县恰卜恰镇,海南州,100.6188,36.2866,青海
2674A,玛沁县大武镇,果洛州,100.2561,34.4714,青海
2675A,玉树县结古镇,玉树州,97,33.0014,青海
2676A,德令哈市,海西州,97.3731,37.3753,青海
2677A,教育园区,吴忠,106.1532,37.9648,宁夏
2678A,高级中学,吴忠,106.2025,37.9844,宁夏
2679A,新区二泵站,吴忠,106.196,37.9723,宁夏
2680A,沙坡头消防站,中卫,105.0197,37.4514,宁夏
2681A,官桥站,中卫,105.18,37.0172,宁夏
2682A,环保局站,中卫,105.1971,37.5002,宁夏
2683A,马园,固原,106.2319,36.1417,宁夏
2684A,监测站,固原,106.2792,36.0022,宁夏
2685A,新区,固原,106.2375,36.0211,宁夏
2686A,市环保局,吐鲁番地区,89.191,42.9409,新疆
2687A,地区环保局,吐鲁番地区,89.1673,42.9559,新疆
2688A,地区监测站,哈密地区,93.5128,42.8172,新疆
2689A,哈密师范学校,哈密地区,93.4961,42.8328,新疆
2690A,天山天池,昌吉州,87.9897,44.1564,新疆
2691A,州监测站,昌吉州,87.2997,44.0114,新疆
2692A,新区政务中心,昌吉州,87.2717,44.0297,新疆
2693A,博乐市西郊区,博州,82.0485,44.9079,新疆
2694A,市环保局,博州,82.0806,44.8969,新疆
2695A,电视台,阿克苏地区,80.2828,41.1636,新疆
2696A,艺术中心,阿克苏地区,80.2956,41.1933,新疆
2697A,市人民政府,克州,76.1861,39.7153,新疆
2698A,巡警大队,喀什地区,75.9828,39.5371,新疆
2699A,吾办,喀什地区,75.9771,39.4699,新疆
2700A,市环境监测站,喀什地区,75.9435,39.4365,新疆
2701A,地区站,和田地区,79.9485,37.1152,新疆
2702A,古江巴格乡院内,和田地区,79.9117,37.1013,新疆
2703A,市环保局,伊犁哈萨克州,81.2815,43.9404,新疆
2704A,新政府片区,伊犁哈萨克州,81.2867,43.895,新疆
2705A,第二水厂,伊犁哈萨克州,81.3364,43.941,新疆
2706A,东门外小游园,塔城地区,82.9994,46.7432,新疆
2707A,小东沟,阿勒泰地区,88.1214,47.9047,新疆
2708A,市站,阿勒泰地区,88.1267,47.8515,新疆
2709A,艾青诗歌馆,石河子,86.0497,44.2967,新疆
2710A,阳光学校,石河子,86.0697,44.3075,新疆
2711A,农水大厦,五家渠,87.5475,44.1756,新疆
2835A,四十中小,攀枝花,101.7227,26.5670,四川
2842A,湖里中学,厦门,118.0936,24.5058,福建
2845A,德盛苑,长治,113.1569,36.1912,山西
2846A,体育西,广州,113.3208,23.1323,广东
2858A,河西一经路(启用150702),天津,117.7918,39.2474,天津
2859A,津沽路(启用150702),天津,117.3747,38.9846,天津
2860A,宾水西道(启用150702),天津,117.1589,39.0845,天津
2862A,22中南校区,石家庄,114.5480556,38.03777778,河北
2865A,榆次三中,晋中,112.7194444,37.68277778,山西
2866A,外滩首府,运城,111.0522222,35.04388889,山西
2867A,马茂庄小学,吕梁,111.1283333,37.51,山西
2868A,九站,吉林,126.4738889,43.95305556,吉林
2869A,五台山医院(启用161107),扬州,119.4580,32.41361,江苏
2870A,市疾控中心,镇江,119.4369444,32.18888889,江苏
2871A,万里国际学校,宁波,121.6147222,29.90166667,浙江
2872A,南湖区残联,嘉兴,120.7844444,30.7525,浙江
2873A,仁皇山新区,湖州,120.0875,30.89556,浙江
2874A,益益乳业工业园,淮南,117.0411667,32.64600333,安徽
2875A,阜阳职业技术学院,阜阳,115.7838889,32.88922222,安徽
2876A,幼特教师范,潍坊,119.0841,36.7339,山东
